City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,73.53,light rain,-23.1203,-134.9692,People ThankYou
3,Ribeira Grande,PT,70.2,broken clouds,38.5167,-28.7,Quinta da Meia Eira
4,Cap Malheureux,MU,71.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
8,Valdez,EC,79.77,few clouds,1.2492,-78.9831,Casa Alquiler Doña Yenner y Don Wacho
11,Hilo,US,78.62,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
15,Winton,US,73.51,haze,37.3894,-120.6133,Applegate Inn
17,Saint George,US,77.47,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
18,Atuona,PF,77.85,scattered clouds,-9.8,-139.0333,Villa Enata
19,Mana,GF,84.72,overcast clouds,5.6592,-53.7767,LE SAMANA
20,Samarai,PG,80.29,scattered clouds,-10.6167,150.6667,Nuli Sapi
21,Kalavad,IN,76.93,broken clouds,22.2167,70.3833,Hetu Bapu Kadri
22,Port Blair,IN,80.64,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
23,Guerrero Negro,MX,73.76,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
24,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
27,Anloga,GH,81.52,clear sky,5.7947,0.8973,Pin Drop Hotel
29,Carutapera,BR,85.23,overcast clouds,-1.195,-46.02,Lidera
32,Castro,BR,73.11,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
33,Alofi,NU,77.7,overcast clouds,-19.0595,-169.9187,Taloa Heights
35,Kendari,ID,76.06,overcast clouds,-3.945,122.4989,Hotel Wixel
42,Coahuayana,MX,89.06,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
43,Buraydah,SA,71.96,clear sky,26.326,43.975,فندق راحة السلام
46,Gambela,ET,75.83,few clouds,8.25,34.5833,Solomon Debebe Hotel
49,Mahebourg,MU,71.26,clear sky,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
51,Palpa,PE,85.3,broken clouds,-14.5336,-75.1856,Palpa Lines
55,Puerto Ayora,EC,76.96,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
58,Dibulla,CO,81.66,broken clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
61,Adrar,MR,81.32,clear sky,20.5022,-10.0711,
65,Arraial Do Cabo,BR,76.86,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
69,Mount Isa,AU,73.17,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
70,Bambous Virieux,MU,71.22,clear sky,-20.3428,57.7575,Casa Tia Villa
72,Richards Bay,ZA,70.09,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
74,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
76,Porto Novo,BJ,79.45,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
80,Wamba,NG,80.28,broken clouds,8.9333,8.6,Roma Zee Guest House Annex
89,Hithadhoo,MV,82.56,overcast clouds,-0.6,73.0833,Scoop Guest House
91,Kapaa,US,78.78,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
92,Sao Joao Da Barra,BR,75.96,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
101,Meulaboh,ID,76.69,overcast clouds,4.1363,96.1285,Kost Pria
107,Nata,PA,79.47,broken clouds,8.3333,-80.5167,Rey David
109,Dicabisagan,PH,76.46,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
118,Manado,ID,75.97,broken clouds,1.487,124.8455,Aryaduta Hotel
119,Los Algarrobos,PA,83.46,scattered clouds,8.5,-82.4333,Waterfall Hostel
128,Saint-Philippe,RE,72.99,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
130,Mae Sai,TH,71.44,overcast clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
138,Sarangani,PH,83.23,broken clouds,5.4033,125.4636,Ballistic Islet
141,Padang,ID,76.59,overcast clouds,-0.9492,100.3543,Mercure Padang
148,Praia,CV,81.14,clear sky,14.9215,-23.5087,LT Aparthotel
150,Port Hedland,AU,71.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
151,San Miguel,SV,86.7,overcast clouds,13.4833,-88.1833,Hotel Tropico Inn San Miguel
160,Bilma,NE,83.64,clear sky,18.6853,12.9164,Expeditions Ténére voyages
167,Nabire,ID,75.83,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
169,Parauna,BR,81.46,broken clouds,-16.9478,-50.4486,Hotel Serras de Paraúna
170,Sosua,DO,89.58,broken clouds,19.7667,-70.5167,Piergiorgio Palace Hotel
172,Kutum,SD,76.68,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
176,Vicuna,CL,81.77,overcast clouds,-30.0319,-70.7081,Los Mosaicos
177,Santa Rosa,PH,82.11,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
184,Namatanai,PG,79.92,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
189,Salalah,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
193,Belmonte,BR,79.3,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
194,Azare,NG,85.62,overcast clouds,11.6765,10.1948,Muk hostel
195,Selma,US,75.04,clear sky,36.5708,-119.6121,"Holiday Inn Selma-Swancourt, an IHG Hotel"
197,Songea,TZ,71.55,clear sky,-10.6833,35.65,mtakuja
200,Butaritari,KI,82.8,few clouds,3.0707,172.7902,Isles Sunset Lodge
203,Grand Gaube,MU,71.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
206,Kattivakkam,IN,77.09,overcast clouds,13.2167,80.3167,Euronova Freezer
