City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,49.08,81,75,4.41,broken clouds
1,Rikitea,PF,-23.1203,-134.9692,73.53,79,100,12.37,light rain
2,Clyde River,CA,70.4692,-68.5914,21.96,85,100,26.78,light snow
3,Ribeira Grande,PT,38.5167,-28.7,70.2,88,75,24.16,broken clouds
4,Cap Malheureux,MU,-19.9842,57.6142,71.47,76,0,4.0,clear sky
5,Wisconsin Rapids,US,44.3836,-89.8174,50.45,52,40,6.91,scattered clouds
6,Ahipara,NZ,-35.1667,173.1667,58.35,93,100,5.88,light rain
7,Pangnirtung,CA,66.1451,-65.7125,17.33,77,100,4.92,overcast clouds
8,Valdez,EC,1.2492,-78.9831,79.77,77,20,10.29,few clouds
9,Genhe,CN,50.7833,121.5167,28.83,67,100,4.97,overcast clouds
10,Huarmey,PE,-10.0681,-78.1522,69.6,71,16,10.76,few clouds
11,Hilo,US,19.7297,-155.09,78.62,70,90,4.61,overcast clouds
12,Zaterechnyy,RU,44.7931,45.2097,54.19,79,100,13.09,overcast clouds
13,Nikolskoye,RU,59.7035,30.7861,46.4,94,26,6.91,scattered clouds
14,Divnomorskoye,RU,44.5011,38.1353,60.33,80,67,3.49,broken clouds
15,Winton,US,37.3894,-120.6133,73.51,80,90,6.91,haze
16,Elizabeth City,US,36.2946,-76.2511,52.02,92,90,16.11,moderate rain
17,Saint George,US,37.1041,-113.5841,77.47,34,1,1.01,clear sky
18,Atuona,PF,-9.8,-139.0333,77.85,64,31,16.46,scattered clouds
19,Mana,GF,5.6592,-53.7767,84.72,63,95,9.84,overcast clouds
20,Samarai,PG,-10.6167,150.6667,80.29,81,48,9.31,scattered clouds
21,Kalavad,IN,22.2167,70.3833,76.93,30,66,6.55,broken clouds
22,Port Blair,IN,11.6667,92.75,80.64,76,45,2.93,scattered clouds
23,Guerrero Negro,MX,27.9769,-114.0611,73.76,60,4,9.33,clear sky
24,Avarua,CK,-21.2078,-159.775,77.05,69,27,6.91,scattered clouds
25,Batagay-Alyta,RU,67.8006,130.4114,-9.56,89,5,6.38,clear sky
26,Terrace,CA,54.5163,-128.6035,43.43,100,90,19.57,moderate rain
27,Anloga,GH,5.7947,0.8973,81.52,78,9,9.64,clear sky
28,Bluff,NZ,-46.6,168.3333,49.8,85,100,2.95,overcast clouds
29,Carutapera,BR,-1.195,-46.02,85.23,64,100,6.58,overcast clouds
30,Dossor,KZ,47.5272,52.9811,32.99,34,85,16.2,overcast clouds
31,Zhangye,CN,38.9342,100.4517,39.72,28,9,3.33,clear sky
32,Castro,BR,-24.7911,-50.0119,73.11,70,82,5.32,broken clouds
33,Alofi,NU,-19.0595,-169.9187,77.7,75,100,19.06,overcast clouds
34,Tasiilaq,GL,65.6145,-37.6368,25.2,86,100,5.5,overcast clouds
35,Kendari,ID,-3.945,122.4989,76.06,91,100,2.75,overcast clouds
36,Yellowknife,CA,62.456,-114.3525,38.41,95,0,5.99,clear sky
37,Punta Arenas,CL,-53.15,-70.9167,51.82,53,75,34.52,broken clouds
38,Fortuna,US,40.5982,-124.1573,57.92,92,90,1.01,overcast clouds
39,Leh,IN,34.1667,77.5833,22.48,61,32,2.86,scattered clouds
40,Opuwo,NA,-18.0607,13.84,73.94,26,69,10.58,broken clouds
41,Jamestown,US,42.097,-79.2353,44.53,54,90,5.01,overcast clouds
42,Coahuayana,MX,18.7333,-103.6833,89.06,54,97,4.85,overcast clouds
43,Buraydah,SA,26.326,43.975,71.96,38,0,11.56,clear sky
44,Chokurdakh,RU,70.6333,147.9167,-12.55,97,83,7.38,broken clouds
45,Airai,TL,-8.9266,125.4092,61.66,78,98,1.99,overcast clouds
46,Gambela,ET,8.25,34.5833,75.83,65,13,0.49,few clouds
47,Cape Town,ZA,-33.9258,18.4232,63.12,84,98,3.58,overcast clouds
48,Nyurba,RU,63.2842,118.3319,-2.47,95,99,6.24,overcast clouds
49,Mahebourg,MU,-20.4081,57.7,71.26,74,0,7.9,clear sky
50,Nanortalik,GL,60.1432,-45.2371,36.32,83,75,5.35,light rain
51,Palpa,PE,-14.5336,-75.1856,85.3,30,83,13.98,broken clouds
52,Ushuaia,AR,-54.8,-68.3,55.06,44,40,8.05,light rain
53,Hofn,IS,64.2539,-15.2082,41.86,58,100,7.07,overcast clouds
54,Chernyshevskiy,RU,63.0128,112.4714,-4.77,97,97,8.68,overcast clouds
55,Puerto Ayora,EC,-0.7393,-90.3518,76.96,72,47,10.89,scattered clouds
56,Pishva,IR,35.308,51.7267,60.01,61,100,3.13,overcast clouds
57,Albany,US,42.6001,-73.9662,47.75,59,100,1.01,overcast clouds
58,Dibulla,CO,11.2725,-73.3091,81.66,83,76,4.36,broken clouds
59,Mataura,NZ,-46.1927,168.8643,49.48,78,100,0.43,overcast clouds
60,Fugen,AT,47.35,11.85,43.29,98,100,2.62,overcast clouds
61,Adrar,MR,20.5022,-10.0711,81.32,18,0,4.21,clear sky
62,Port Alfred,ZA,-33.5906,26.891,65.46,88,99,3.4,overcast clouds
63,Pevek,RU,69.7008,170.3133,-10.5,95,100,7.09,overcast clouds
64,Iqaluit,CA,63.7506,-68.5145,20.7,67,36,8.99,scattered clouds
65,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,78,75,14.97,broken clouds
66,Khatanga,RU,71.9667,102.5,23.41,95,100,23.33,snow
67,Bredasdorp,ZA,-34.5322,20.0403,60.28,78,100,9.98,overcast clouds
68,Ancud,CL,-41.8697,-73.8203,54.93,64,75,10.25,broken clouds
69,Mount Isa,AU,-20.7333,139.5,73.17,64,3,0.0,light rain
70,Bambous Virieux,MU,-20.3428,57.7575,71.22,74,0,8.16,clear sky
71,Polunochnoye,RU,60.8697,60.4153,33.78,82,100,9.1,overcast clouds
72,Richards Bay,ZA,-28.783,32.0377,70.09,77,100,11.77,overcast clouds
73,Ornskoldsvik,SE,63.2909,18.7153,40.82,100,90,3.44,drizzle
74,Vaini,TO,-21.2,-175.2,75.36,100,75,4.61,light rain
75,Dumas,US,35.8656,-101.9732,65.55,27,1,11.5,clear sky
76,Porto Novo,BJ,6.4965,2.6036,79.45,81,93,6.02,overcast clouds
77,Ponta Do Sol,PT,32.6667,-17.1,69.71,63,63,7.34,broken clouds
78,Yar-Sale,RU,66.8333,70.8333,32.49,89,100,22.73,overcast clouds
79,Carballo,ES,43.213,-8.691,53.29,86,52,6.42,broken clouds
80,Wamba,NG,8.9333,8.6,80.28,67,55,2.42,broken clouds
81,Matagami,CA,49.7502,-77.6328,34.16,49,100,9.15,overcast clouds
82,Murdochville,CA,48.9583,-65.5006,31.84,46,11,6.89,few clouds
83,Baykit,RU,61.67,96.37,10.63,92,100,8.43,overcast clouds
84,Filingue,NE,14.3521,3.3168,93.18,17,3,6.85,clear sky
85,Sidhi,IN,24.4167,81.8833,64.4,47,96,1.99,overcast clouds
86,Hobart,AU,-42.8794,147.3294,46.11,91,20,1.99,few clouds
87,Rognan,NO,67.0953,15.3878,41.14,86,59,6.55,broken clouds
88,East London,ZA,-33.0153,27.9116,67.86,84,23,6.24,few clouds
89,Hithadhoo,MV,-0.6,73.0833,82.56,73,100,11.83,overcast clouds
90,Chapais,CA,49.7834,-74.8492,26.38,55,100,8.32,overcast clouds
91,Kapaa,US,22.0752,-159.319,78.78,83,90,5.99,moderate rain
92,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.96,78,14,14.92,few clouds
93,Fort Nelson,CA,58.8053,-122.7002,38.46,66,46,0.96,scattered clouds
94,Thompson,CA,55.7435,-97.8558,37.8,48,100,5.14,overcast clouds
95,Chipiona,ES,36.7366,-6.437,61.02,51,20,5.75,few clouds
96,New Norfolk,AU,-42.7826,147.0587,45.75,78,0,2.04,clear sky
97,Ossora,RU,59.2353,163.0719,22.03,90,100,6.2,overcast clouds
98,Srednekolymsk,RU,67.45,153.6833,-12.15,92,80,2.28,broken clouds
99,Demidov,RU,55.2706,31.515,45.66,78,100,12.15,light rain
100,Constitucion,CL,-35.3333,-72.4167,62.01,46,0,25.75,clear sky
101,Meulaboh,ID,4.1363,96.1285,76.69,90,100,2.64,overcast clouds
102,Geraldton,AU,-28.7667,114.6,64.81,63,90,12.66,overcast clouds
103,Bennington,US,42.8781,-73.1968,46.49,60,75,5.75,broken clouds
104,Klaksvik,FO,62.2266,-6.589,45.52,75,93,22.46,overcast clouds
105,Lampazos De Naranjo,MX,27.0167,-100.5167,56.88,81,100,8.59,overcast clouds
106,Qaanaaq,GL,77.484,-69.3632,6.35,57,0,8.19,clear sky
107,Nata,PA,8.3333,-80.5167,79.47,72,81,3.69,broken clouds
108,Husavik,IS,66.0449,-17.3389,30.88,96,98,5.19,light snow
109,Dicabisagan,PH,17.0818,122.4157,76.46,87,100,5.73,overcast clouds
110,Hay River,CA,60.8156,-115.7999,40.05,64,36,8.66,scattered clouds
111,Tuatapere,NZ,-46.1333,167.6833,49.82,93,100,2.28,overcast clouds
112,Ostrovnoy,RU,68.0531,39.5131,36.23,91,100,15.41,overcast clouds
113,Nemuro,JP,43.3236,145.575,48.92,78,100,12.35,overcast clouds
114,Price,US,39.5994,-110.8107,60.73,40,1,4.61,clear sky
115,Komsomolskiy,UZ,40.4272,71.7189,38.12,48,75,4.61,haze
116,Port Lincoln,AU,-34.7333,135.8667,57.83,85,100,11.56,overcast clouds
117,San Patricio,US,28.017,-97.5169,59.09,68,87,14.65,overcast clouds
118,Manado,ID,1.487,124.8455,75.97,94,75,1.14,broken clouds
119,Los Algarrobos,PA,8.5,-82.4333,83.46,74,40,10.36,scattered clouds
120,Aykhal,RU,66.0,111.5,-7.26,97,100,21.5,overcast clouds
121,Jumla,NP,29.2747,82.1838,40.19,67,0,4.12,clear sky
122,Syamzha,RU,60.0158,41.0614,43.68,89,100,11.7,overcast clouds
123,Barrow,US,71.2906,-156.7887,23.02,80,90,13.8,overcast clouds
124,Mahon,ES,39.8885,4.2658,50.56,93,75,11.5,shower rain
125,Tiksi,RU,71.6872,128.8694,2.37,77,100,23.04,overcast clouds
126,Polyarnyye Zori,RU,67.3661,32.4981,33.71,99,100,5.08,light rain
127,Norman Wells,CA,65.282,-126.8329,22.98,84,7,1.7,clear sky
