City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bambous Virieux,-20.3428,57.7575,70.21,94,20,3.44,MU,2021-10-30 22:24:52
1,Saldanha,-33.0117,17.9442,59.05,87,30,9.66,ZA,2021-10-30 22:25:58
2,Cherskiy,68.75,161.3,-0.92,98,100,5.95,RU,2021-10-30 22:25:58
3,Progreso,21.2833,-89.6667,82.51,54,13,10.29,MX,2021-10-30 22:22:43
4,Tiksi,71.6872,128.8694,0.37,94,97,8.99,RU,2021-10-30 22:25:59
5,Santa Isabel Do Rio Negro,-0.4139,-65.0192,82.13,71,85,1.45,BR,2021-10-30 22:25:59
6,Oistins,13.0667,-59.5333,80.69,74,20,13.8,BB,2021-10-30 22:25:59
7,Ahuatempan,18.4167,-98.0167,72.82,47,18,6.46,MX,2021-10-30 22:25:59
8,Codrington,-38.2667,141.9667,51.12,80,3,7.0,AU,2021-10-30 22:26:00
9,Rikitea,-23.1203,-134.9692,75.02,85,80,21.12,PF,2021-10-30 22:24:36
10,Busselton,-33.65,115.3333,46.04,89,94,5.28,AU,2021-10-30 22:26:00
11,Soroca,48.1558,28.2975,43.92,73,0,5.46,MD,2021-10-30 22:26:00
12,Butaritari,3.0707,172.7902,82.38,73,24,6.2,KI,2021-10-30 22:26:01
13,Mataura,-46.1927,168.8643,49.66,96,100,12.59,NZ,2021-10-30 22:26:01
14,Barrow,71.2906,-156.7887,15.82,79,90,6.91,US,2021-10-30 22:21:17
15,Kutum,14.2,24.6667,74.53,17,24,11.12,SD,2021-10-30 22:26:01
16,Salalah,17.0151,54.0924,78.89,61,0,3.44,OM,2021-10-30 22:26:02
17,Chuy,-33.6971,-53.4616,66.6,85,68,12.86,UY,2021-10-30 22:26:02
18,Hobart,-42.8794,147.3294,59.25,57,75,4.0,AU,2021-10-30 22:26:03
19,Puerto Ayora,-0.7393,-90.3518,78.76,82,96,9.57,EC,2021-10-30 22:26:03
20,Bethel,41.3712,-73.414,58.5,92,75,1.01,US,2021-10-30 22:25:23
21,Argudan,43.4214,43.9158,45.48,79,1,1.5,RU,2021-10-30 22:26:03
22,Arraial Do Cabo,-22.9661,-42.0278,69.76,100,75,8.05,BR,2021-10-30 22:26:04
23,Broken Hill,-31.95,141.4333,58.71,29,96,10.36,AU,2021-10-30 22:26:04
24,Half Moon Bay,37.4636,-122.4286,71.02,82,90,1.01,US,2021-10-30 22:26:04
25,Tororo,0.693,34.1809,66.13,83,100,3.13,UG,2021-10-30 22:26:05
26,Sao Jose Da Coroa Grande,-8.8978,-35.1478,77.23,74,1,11.72,BR,2021-10-30 22:26:05
27,Faya,18.3851,42.4509,59.11,47,0,6.13,SA,2021-10-30 22:26:05
28,Homer,59.6425,-151.5483,48.07,86,90,14.97,US,2021-10-30 22:25:55
29,Kayanga,-1.5303,31.1511,59.11,87,96,2.15,TZ,2021-10-30 22:26:06
30,Chokurdakh,70.6333,147.9167,1.71,97,99,6.24,RU,2021-10-30 22:26:06
31,Ilulissat,69.2167,-51.1,37.42,60,20,17.27,GL,2021-10-30 22:26:06
32,Punta Arenas,-53.15,-70.9167,53.71,43,0,14.97,CL,2021-10-30 22:24:14
33,Cooma,-36.2333,149.1333,46.17,76,40,4.61,AU,2021-10-30 22:26:06
34,Bilibino,68.0546,166.4372,-9.06,99,100,1.34,RU,2021-10-30 22:26:07
35,New Norfolk,-42.7826,147.0587,58.91,42,89,7.38,AU,2021-10-30 22:25:10
36,Ushuaia,-54.8,-68.3,51.46,46,0,18.41,AR,2021-10-30 22:26:07
37,Mamallapuram,12.6264,80.1722,80.65,84,100,9.86,IN,2021-10-30 22:26:08
